Date Changed,User,Event
"Oct 31, 2023, 3:47 pm Central Daylight Time","Spencer Gamache","Signed In. "
"Oct 31, 2023, 3:12 pm Central Daylight Time","Spencer Gamache","Signed Out. "
"Oct 31, 2023, 1:55 pm Central Daylight Time","Spencer Gamache","Emailed Invoice No. 9401 for Foodcellar Market for $258.48"
"Oct 31, 2023, 1:55 pm Central Daylight Time","Spencer Gamache","Edited Invoice No. 9401 for Foodcellar Market for $258.48"
"Oct 31, 2023, 1:31 pm Central Daylight Time","Spencer Gamache","Signed In. "
"Oct 31, 2023, 1:22 pm Central Daylight Time","Jeremiah Tallerine","Signed In. "
"Oct 31, 2023, 1:07 pm Central Daylight Time","Jeremiah Tallerine","Signed Out. "
"Oct 31, 2023, 1:07 pm Central Daylight Time","Spencer Gamache","Signed Out. "
"Oct 31, 2023, 12:33 pm Central Daylight Time","Strata Cloud Accountants","Signed In. "
"Oct 31, 2023, 12:04 pm Central Daylight Time","Jeremiah Tallerine","Deleted Invoice No. 9373 for Buc-ee's Ltd:Buc-ee's 22 New Braunfels for $93.82"
"Oct 31, 2023, 12:03 pm Central Daylight Time","Spencer Gamache","Edited Invoice No. 9309 for UNFI for $359.10"
"Oct 31, 2023, 11:54 am Central Daylight Time","Strata Cloud Accountants","Added Bill Payment (Check) No. 1037 to Endorphin Farms for $0.00"
"Oct 31, 2023, 11:52 am Central Daylight Time","Strata Cloud Accountants","Added Bill Payment (Check) No. 1036 to Endorphin Farms for $0.00"
"Oct 31, 2023, 11:49 am Central Daylight Time","Strata Cloud Accountants","Edited Vendor Credit No. 838697 to Endorphin Farms for $179.46"
"Oct 31, 2023, 11:48 am Central Daylight Time","Strata Cloud Accountants","Added Vendor Credit No. 838868 to Endorphin Farms for $362.60"
"Oct 31, 2023, 11:48 am Central Daylight Time","Strata Cloud Accountants","Edited Attachment Strata Cloud Accountants Mail - Bravado Spice payment inquiry.pdf "
"Oct 31, 2023, 11:48 am Central Daylight Time","Strata Cloud Accountants","Added Attachment Strata Cloud Accountants Mail - Bravado Spice payment inquiry.pdf "
"Oct 31, 2023, 11:48 am Central Daylight Time","Strata Cloud Accountants","Uploaded File "
"Oct 31, 2023, 11:47 am Central Daylight Time","Strata Cloud Accountants","Added Vendor Credit No. 838866 to Endorphin Farms for $30.09"
"Oct 31, 2023, 11:47 am Central Daylight Time","Strata Cloud Accountants","Edited Attachment Strata Cloud Accountants Mail - Bravado Spice payment inquiry.pdf "
"Oct 31, 2023, 11:47 am Central Daylight Time","Strata Cloud Accountants","Added Attachment Strata Cloud Accountants Mail - Bravado Spice payment inquiry.pdf "
"Oct 31, 2023, 11:47 am Central Daylight Time","Strata Cloud Accountants","Uploaded File "
"Oct 31, 2023, 11:47 am Central Daylight Time","Spencer Gamache","Signed In. "
"Oct 31, 2023, 11:46 am Central Daylight Time","Strata Cloud Accountants","Added Vendor Credit No. 838697 to Endorphin Farms for $179.46"
"Oct 31, 2023, 11:46 am Central Daylight Time","Strata Cloud Accountants","Edited Attachment Strata Cloud Accountants Mail - Bravado Spice payment inquiry.pdf "
"Oct 31, 2023, 11:46 am Central Daylight Time","Strata Cloud Accountants","Added Attachment Strata Cloud Accountants Mail - Bravado Spice payment inquiry.pdf "
"Oct 31, 2023, 11:46 am Central Daylight Time","Strata Cloud Accountants","Uploaded File "
"Oct 31, 2023, 11:39 am Central Daylight Time","Strata Cloud Accountants","Matched Payment to UNFI for $4983.84"
